company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,additional_notes,known_total_layoffs,known_impacted_workforce_percentage
AvantStay,224.0,,2022-11-09,travel,Los Angeles,Skift,Private,None,1,0
Booking.com,226.0,,2022-11-01,"travel, hotels","Grand Rapids, MI",Crain's Detroit Business,Private,None,1,0
Aspire,23.0,,2022-07-15,marketing tech,San Francisco,Business Insider,Private,None,1,0
Gopuff,2300.0,,2022-10-21,e-commerce,Philadelphia,"Bloomberg, The Information",Private,"First round of layoffs was in January, second round was in March, third round was in July, and the fourth round was in October.",1,0
Eaze,25.0,,2022-06-02,cannabis,San Francisco,Business Insider,Private,None,1,0
Nuro,310.0,,2022-11-18,transportation,Mountain View,The Robot Report,Private,None,1,0
Citizen,33.0,,2023-01-11,surveillance,New York,TechCrunch,Private,None,1,0
Balto,35.0,,2022-12-12,"artificial intelligence, machine learning",St. Louis,St. Louis Business Journal,Private,None,1,0
Hopin,370.0,,2022-07-11,virtual event,London,TechCrunch,Private,None,1,0
Vial,40.0,,2023-01-13,"health care, clinical trials",San Francisco,Business Insider,Private,None,1,0
Wistia,40.0,,2022-11-10,"video production, marketing","Cambridge, MA",Wistia CEO,Private,None,1,0
FreshDirect,40.0,,2022-08-25,"food delivery, ecommerce","The Bronx, NY",Philadelphia Business Journal,Private,None,1,0
Adwerx,40.0,,2022-07-12,digital marketing,"Durham, North Carolina",Inman,Private,None,1,0
Community,40.0,,2022-06-22,social media,Los Angeles,Business Insider,Private,None,1,0
Esme Learning,40.0,,2022-06-02,edtech,"Newton, Massachusetts","Esme Learning, Crunchbase News reporting",Private,None,1,0
Luxury Presence,44.0,,2023-01-17,"proptech, advertising","Santa Monica, CA",Inman,Private,None,1,0
Hubilo,45.0,,2022-07-12,virtual events,San Francisco,Inc42,Private,None,1,0
Olive,450.0,,2022-07-19,health care,Columbus,Olive,Private,None,1,0
Imperfect Foods,50.0,,2022-08-01,"grocery, e-commerce, delivery service",San Francisco,San Francisco Business Times,Private,None,1,0
Tempo Automation,54.0,,2022-08-17,automotive,San Francisco,San Francisco Business Times,Private,None,1,0
Chili Piper,58.0,,2022-11-17,"enterprise software, productivity",New York,Chili Piper,Private,None,1,0
On Deck,73.0,,2022-08-04,"networking, business development",San Francisco,TechCrunch,Private,None,1,0
Varo,75.0,,2022-07-20,fintech,San Francisco,Axios,Private,None,1,0
Nylas,80.0,,2022-08-02,"software, emails, api",San Francisco,Nylas,Private,None,1,0
Career Karma,82.0,,2023-01-12,"career planning, social network",San Francisco,TechCrunch,Private,None,1,0
Rev.com,85.0,,2022-10-07,"speech recognition, artificial intelligence",San Francisco,Austin American-Statesman,Private,None,1,0
The Zebra,90.0,,2022-11-15,"insurance, fintech","Austin, TX",Coverager,Private,None,1,0
Colossus,97.0,,2022-05-20,"solar, software",Massachusetts,Axios,Private,None,1,0
OnlyFans,,,2022-08-01,"social media, creator economy",London,Business Insider,Private,OnlyFans is based in the UK but has a sizeable workforce in the US,0,0
Talkdesk,,,2022-05-19,customer service,San Francisco,Confirmed by CB News from source,Private,Sources say hundreds of employees have been laid off,0,0
StubHub,,,2022-08-04,"e-commerce, ticketing",San Francisco,StubHub on LinkedIn,Private,StubHub announced they would be letting go of the majority of their employees on a LinkedIn post,0,0
Cerebral,,,2022-10-24,health care,San Francisco,Wall Street Journal,Private,The company previously laid off employees in May.,0,0
Elemy,,,2022-12-05,health care,San Francisco,Behavioral Health Business,Private,The company previously laid off workers in July.,0,0
TikTok,,,2022-07-18,social media,Los Angeles,Wired,Private,"TikTok is owned by China-based ByteDance, but the layoffs affected staff in the U.S.",0,0
RateGenius,,,2023-01-17,"consumer lending, fintech","Austin, TX",AustinInno,Private,None,0,0
GoCanvas,,,2023-01-13,"productivity, enterprise software","Reston, VA",GoCanvas CEO Viyas Sundaram,Private,None,0,0
CoSchedule,,,2023-01-13,"productivity, marketing","Bismarck, ND",Inforum,Private,None,0,0
Oyster,,,2023-01-11,"human resources, saas","Charlotte, NC",Oyster,Private,None,0,0
Embark,,,2023-01-11,"pet tech, health care",Boston,Embark CEP Ryan Boyko,Private,None,0,0
Cart.com,,,2023-01-10,"e-commerce, dtc","Austin, TX",AustinInno,Private,None,0,0
CreateMe Technologies,,,2023-01-06,"product design, apparel","New City, NY",San Francisco Business Times,Private,None,0,0
CareerArc,,,2023-01-06,"human resources, recruiting",Los Angeles,CareerArc,Private,None,0,0
Autograph,,,2022-12-16,"cryptocurrency, blockchain","Santa Monica, CA",Business Insider,Private,None,0,0
Convene,,,2022-12-10,"proptech, hospitality",New York,Convene CEO Ryan Simonetti,Private,None,0,0
Autobooks,,,2022-12-10,"fintech, payments",Detroit,Crain's Detroit Business,Private,None,0,0
Zywave,,,2022-12-07,"insurtech, cloud computing",Milwaukee,Milwaukee Business Journal,Private,None,0,0
CircleCI,,,2022-12-07,"automation, it",San Francisco,CircleCI,Private,None,0,0
Route,,,2022-12-05,"retail, e-commerce","Lehi, UT",Salt Lake Tribune,Private,None,0,0
Inspectify,,,2022-11-28,proptech,Seattle,Puget Sound Business Journal,Private,None,0,0
Storyblocks,,,2022-11-18,"media, video editing","Washington, DC",Storyblocks CEO,Private,None,0,0
Metaplex,,,2022-11-18,cryptocurrency,Chicago,AMBCrypto,Private,None,0,0
Kandji,,,2022-11-17,"it, software",San Diego,LinkedIn reports,Private,None,0,0
Reforge,,,2022-11-10,hr tech,San Francisco,Reforge CEO,Private,None,0,0
Amobee,,,2022-11-09,"adtech, digital marketing","Redwood City, CA",Amobee,Private,None,0,0
Domino Data Lab,,,2022-11-07,"ai, big data",San Francisco,LinkedIn reports,Private,None,0,0
Spreetail,,,2022-10-27,"retail, e-commerce","Lincoln, NE",Spreetail CEO,Private,None,0,0
TigerGraph,,,2022-10-25,analytics,"Redwood City, CA",Sources within the company,Private,None,0,0
Clever Real Estate,,,2022-10-19,proptech,St. Louis,St. Louis Business Journal,Private,None,0,0
Noodle,,,2022-10-18,edtech,New York,LinkedIn,Private,None,0,0
Built In,,,2022-10-05,networking,Chicago,LinkedIn,Private,None,0,0
Instacart,,,2022-09-24,"delivery, e-commerce",San Francisco,The Information,Private,None,0,0
DayTwo,,,2022-09-15,"health care, nutrition","Walnut Creek, CA",Calcalistech,Private,None,0,0
WorkRamp,,,2022-09-15,"saas, enterprise software","San Carlos, CA",LinkedIn,Private,None,0,0
Sundae,,,2022-09-13,proptech,San Francisco,Confirmed by CB News from sources,Private,None,0,0
Sama,,,2022-09-12,"ai, enterprise software",San Francisco,Sama,Private,None,0,0
DreamBox Learning,,,2022-09-09,edtech,Seattle,Geekwire,Private,None,0,0
FullStory,,,2022-09-08,"saas, data",Atlanta,"Scott Voigt, CEO of FullStory",Private,None,0,0
realtor.com,,,2022-09-08,proptech,"Santa Clara, CA",SFGate,Private,None,0,0
Fungible,,,2022-08-29,cryptocurrency,"Santa Clara, CA",Blocks & Files,Private,None,0,0
Pix,,,2022-08-24,foodtech,"Napa, CA",San Francisco Chronicle,Private,None,0,0
People.ai,,,2022-07-26,"ai, sales",San Francisco,LinkedIn,Private,None,0,0
Capsule,,,2022-07-21,health care,New York,Crain's New York,Private,None,0,0
InVision,,,2022-07-21,"visual collaboration, apps",New York,LinkedIn,Private,None,0,0
Alto Pharmacy,,,2022-07-14,health care,San Francisco,LinkedIn,Private,None,0,0
Spring,,,2022-07-13,e-commerce,San Francisco,Business Insider,Private,None,0,0
Nextbite,,,2022-07-08,"restaurant tech, food tech",Denver,Business Insider,Private,None,0,0
LetsGetChecked,,,2022-07-02,health care,New York,Business Post,Private,None,0,0
Teleport,,,2022-07-01,cloud infrastructure,Oakland,Teleport,Private,None,0,0
Modsy,,,2022-06-29,e-commerce,San Francisco,TechCrunch,Private,None,0,0
Degreed,,,2022-06-29,edtech,"Pleasanton, CA",LinkedIn,Private,None,0,0
Keepe,,,2022-06-10,proptech,Seattle,GeekWire,Private,None,0,0
Liongard,,,2022-06-10,it infrastructure,Houston,CRN,Private,None,0,0
Deep Instinct,,,2022-06-08,cybersecurity,New York,Crunchbase News,Private,None,0,0
ID.Me,,,2022-06-07,identity verification,"McLean, Virginia",Business Insider,Private,None,0,0
Clubhouse,,,2022-06-03,"social media, audio",San Francisco,Bloomberg,Private,None,0,0
Zwift,,,2022-05-12,fitness,Long Beach,DC Rainmaker,Private,None,0,0
Tripwire,,,2022-05-12,security,Portland,OregonLive,Private,None,0,0
Mural,,,2022-05-06,product design,San Francisco,Protocol,Private,None,0,0
Thrasio,,,2022-05-02,e-commerce,"Walpole, MA",Insider,Private,None,0,0
Workrise,,,2022-04-05,marketplace,"Austin, TX",TechCrunch,Private,None,0,0
F5,100.0,1.0,2022-10-21,"saas, enterprise software",Seattle,GeekWire,Public,None,1,1
Affirm,,1.0,2022-11-03,"fintech, loans",San Francisco,The Information,Public,None,0,1
Freshworks,90.0,2.0,2022-12-15,"crm, it","San Mateo, CA",Inc42,Public,None,1,1
Coursera,32.0,3.0,2022-11-09,edtech,"Mountain View, CA",Coursera CEO,Public,None,1,1
Outbrain,38.0,3.0,2022-07-26,digital marketing,New York,CTech,Public,None,1,1
WalkMe,43.0,3.0,2023-01-08,"edtech, product management",San Francisco,Calcalistech,Public,None,1,1
Amdocs,700.0,3.0,2023-01-02,"crm, enterprise software","Chesterfield, MO",Calcalistech,Public,None,1,1
Nutanix,270.0,4.0,2022-08-10,"data center, enterprise software",San Jose,SFGate,Public,None,1,1
Varonis Systems,110.0,5.0,2022-11-06,cybersecurity,New York,Calcalistech,Public,"Half of its layoffs happened at its R&D center in Israel, per reports. Layoffs affected 5% of employees.",1,1
Amazon,18000.0,5.0,2023-01-05,"e-commerce, saas",Seattle,Wall Street Journal,Public,None,1,1
Zillow,300.0,5.0,2022-10-26,proptech,Seattle,TechCrunch,Public,None,1,1
Zendesk,350.0,5.0,2022-11-07,"enterprise software, customer service",San Francisco,SFGate,Public,None,1,1
Cisco,4100.0,5.0,2022-11-16,"enterprise software, saas","San Jose, CA",Silicon Valley Business Journal,Public,None,1,1
TechTarget,60.0,5.0,2022-12-08,marketing,"Newton, MA",MarketWatch,Public,None,1,1
BlackLine,95.0,5.0,2022-12-08,enterprise software,Los Angeles,Seeking Alpha,Public,None,1,1
Sweetgreen,,5.0,2022-08-09,"food and beverage, restaurants","Washington, DC",CNBC,Public,None,0,1
Taboola,100.0,6.0,2022-09-13,content marketing,New York,Calcalistech,Public,None,1,1
Spotify,588.0,6.0,2023-01-24,music,"Stockholm, Sweden",TechCrunch,Public,None,1,1
DoorDash,1250.0,6.0,2022-11-30,"food delivery, ecommerce",San Francisco,Reuters,Public,None,1,1
Latch,30.0,6.0,2022-05-13,"smart home, security",New York,TechCrunch,Public,None,1,1
Teladoc Health,300.0,6.0,2023-01-18,"health care, telehealth","Purchase, NY",Digital Health,Public,None,1,1
Definitive Healthcare,55.0,6.0,2023-01-12,"health care, analytics","Framingham, MA",CMLVIZ,Public,None,1,1
Rivian,840.0,6.0,2022-07-28,"electric vehicle, transportation","Irvine, CA",CNN,Public,None,1,1
Vimeo,,6.0,2023-01-04,media/entertainment,New York,Vimeo,Public,None,0,1
nCino,100.0,7.0,2023-01-18,"fintech, software","Wilmington, NC",Port City Daily,Public,None,1,1
8x8,155.0,7.0,2023-01-18,"telecommunications, enterprise software","San Jose, CA",Channel Futures,Public,None,1,1
Roku,200.0,7.0,2022-11-17,"media, streaming","Los Gatos, CA",Variety,Public,None,1,1
Informatica,450.0,7.0,2023-01-10,"big data, cloud computing","Redwood City, CA",Channel Futures,Public,None,1,1
BigBear.ai,,7.0,2022-09-08,"data analytics, national defense","Columbia, MD",Baltimore Business Journal,Public,None,0,1
Unity,509.0,8.0,2023-01-17,video games,San Francisco,WSJ,Public,None,1,1
Asana,180.0,9.0,2022-11-15,"collaboration, enterprise software",San Francisco,Asana COO,Public,None,1,1
Pear Therapeutics,25.0,9.0,2022-07-25,"software, biotech",Boston,MassDevice,Public,None,1,1
DocuSign,,9.0,2022-09-28,e-signature,San Francisco,CNBC,Public,None,0,1
ForeScout Technologies,100.0,10.0,2023-01-10,"cybersecurity, cloud services","San Jose, CA",Calcalistech,Public,None,1,1
Shopify,1000.0,10.0,2022-07-26,e-commerce,"Ottawa, Canada",WSJ,Public,None,1,1
Similarweb,120.0,10.0,2022-11-16,"ai, analytics",New York,Globes,Public,None,1,1
iRobot,140.0,10.0,2022-08-05,"artificial intelligence, robotics","Bedford, MA",Geekwire,Public,None,1,1
Blend,200.0,10.0,2022-04-19,fintech,San Francisco,HousingWire,Public,None,1,1
Skillz,70.0,10.0,2022-05-20,esports/video games,San Francisco,TechCrunch,Public,None,1,1
Beachbody,70.0,10.0,2022-01-27,fitness,"Santa Monica, CA",Club Industry,Public,None,1,1
Zulily,99.0,10.0,2022-05-16,e-commerce,Seattle,GeekWire,Public,None,1,1
Compass,,10.0,2023-01-05,proptech,New York,Bloomberg,Public,None,0,1
SoundHound,,10.0,2023-01-05,conversational ai,"Santa Clara, CA",SoundHound,Public,None,0,1
Blue Apron,,10.0,2022-12-08,"grocery, e-commerce, delivery service",New York,Blue Apron,Public,None,0,1
Core Scientific,,10.0,2022-08-12,"blockchain, cryptocurrency",Austin,Blockworks,Public,None,0,1
Kaltura,75.0,11.0,2023-01-04,"developer apis, enterprise software",New York,Globes,Public,None,1,1
Twilio,800.0,11.0,2022-09-14,enterprise software,San Francisco,TechCrunch,Public,None,1,1
Zuora,,11.0,2022-12-06,cloud infrastructure,"San Mateo, CA",MarketWatch,Public,None,0,1
BuzzFeed,180.0,12.0,2022-12-06,"media, news",New York,Variety,Public,None,1,1
AppLovin,300.0,12.0,2022-06-29,"mobile apps, developer tools",Palo Alto,Silicon Valley Business Journal,Public,None,1,1
DesktopMetal,,12.0,2022-06-13,3d printing,"Burlington, Massachusetts",MarketWatch,Public,None,0,1
Meta,11000.0,13.0,2022-11-09,social media,"Menlo Park, CA",CNBC,Public,None,1,1
Integral Ad Science,120.0,13.0,2022-12-07,"data science, enterprise",New York,Integral Ad Science,Public,None,1,1
BigCommerce,,13.0,2022-12-15,"enterprise software, e-commerce","Austin, TX",MarketWatch,Public,None,0,1
Elastic,,13.0,2022-11-30,"analytics, saas",San Francisco,Elastic,Public,None,0,1
Lending Club,225.0,14.0,2023-01-12,"fintech, banking",San Francisco,Bloomberg,Public,None,1,1
Edgio,95.0,14.0,2022-12-13,"cloud computing, web hosting","Tempe, AZ",Edgio,Public,None,1,1
Life360,,14.0,2023-01-12,mobile apps,San Francisco,Life360 statement,Public,None,0,1
Groupon,500.0,15.0,2022-08-08,"ecommerce, retail",Chicago,TechCrunch,Public,None,1,1
Lyft,760.0,15.0,2022-11-03,transportation,San Francisco,WSJ,Public,None,1,1
Baakt,,15.0,2022-12-08,cryptocurrency,"Alpharetta, GA",Baakt,Public,None,0,1
ThredUp,,15.0,2022-08-15,"e-commerce, fashion","Oakland, CA",Retail Dive,Public,None,0,1
Limeade,,15.0,2023-01-11,"employee benefits, hr tech","Bellevue, WA",GeekWire,Public,None,0,1
GoodRx,140.0,16.0,2022-08-31,"health care, pharmaceuticals",Los Angeles,Seeking Alpha,Public,None,1,1
Astra,,16.0,2022-11-08,"aerospace, space","Alameda, CA",Astra CEO,Public,None,0,1
Enjoy,400.0,18.0,2022-06-30,"e-commerce, delivery",Palo Alto,Bloomberg,Public,None,1,1
Opendoor,550.0,18.0,2022-11-02,proptech,San Francisco,Opendoor CEO,Public,None,1,1
Redfin,1332.0,19.0,2022-11-09,proptech,Seattle,Bloomberg,Public,None,1,1
Snap,1280.0,20.0,2022-08-31,social media,"Venice, CA",The Verge,Public,None,1,1
Pluralsight,400.0,20.0,2022-12-12,"edtech, it","Draper, UT",Pluralsight,Public,None,1,1
Metromile,60.0,20.0,2022-07-29,"insurtech, transportation",San Francisco,Crunchbase,Public,None,1,1
GoHealth,800.0,20.0,2022-08-11,"health care, health insurance",Chicago,Chicago Sun Times,Public,None,1,1
Sezzle,,20.0,2022-03-10,fintech,Minneapolis,Reuters,Public,None,0,1
Pagaya,,20.0,2023-01-18,"fintech, ai",New York,Reuters,Public,None,0,1
2U,,20.0,2022-08-01,edtech,"Hyattsville, MD",Inside Higher Ed,Public,None,0,1
Leafly,56.0,21.0,2022-10-18,cannabis,Seattle,Leafly,Public,None,1,1
Sonder,,21.0,2022-06-10,hospitality,San Francisco,MarketWatch,Public,None,0,1
Bird,138.0,23.0,2022-06-07,transporation,Santa Monica,TechCrunch,Public,None,1,1
Rent the Runway,,24.0,2022-09-12,"e-commerce, retail",New York,Wall Street Journal,Public,None,0,1
TuSimple,350.0,25.0,2022-12-21,"electric vehicle, transportation",San Diego,TechCrunch,Public,None,1,1
Qualtrics,,25.0,2023-01-11,"saas, enterprise software","Provo, UT",MarketWatch,Public,None,0,1
PayPal,83.0,27.0,2022-05-23,fintech,San Jose,The Information,Public,None,1,1
Blend,,28.0,2023-01-10,"fintech, proptech",San Francisco,Inman,Public,None,0,1
Juul,400.0,30.0,2022-11-10,"consumer goods, vape pens",San Francisco,CNBC,Public,None,1,1
Akili Interactive Labs,46.0,30.0,2023-01-12,health care,Boston,Behavioral Health Business,Public,None,1,1
Robinhood,1013.0,33.0,2022-08-02,fintech,Menlo Park,Robinhood,Public,None,1,1
Playtika,250.0,33.0,2022-05-31,gaming,Tel Aviv,Globes,Public,"Closing studios in London, Montreal, and Los Angeles. Layoffs affected around 33% of employees.",1,1
Vroom,647.0,33.0,2022-08-08,"auto, e-commerce",New York,Automotive News,Public,None,1,1
Stitch Fix,,35.0,2023-01-05,"ecommerce, fashion",San Francisco,CNBC,Public,None,0,1
Latch,115.0,37.0,2022-08-02,proptech,"New York, NY",Latch,Public,None,1,1
Sema4,750.0,39.0,2022-11-14,"ai, health care","Stamford, CT",MarketWatch,Public,None,1,1
Root Insurance,467.0,40.0,2022-11-09,insurtech,Columbus,Columbus Dispatch,Public,None,1,1
Coinbase,2110.0,43.0,2023-01-10,crypto,San Francisco,CNBC,Public,None,1,1
Volta Charging,,54.0,2022-10-21,"automotive, electric vehicles",San Francisco,Volta,Public,None,0,1
Twitter,3740.0,70.0,2023-01-05,social media,San Francisco,The Information,Public,None,1,1
Starry,,74.0,2023-01-18,"wifi, hardware",Boston,SEC filings,Public,None,0,1
RingCentral,80.0,,2023-01-17,"saas, meeting software","Belmont, CA",Barron's,Public,None,1,0
Carvana,4000.0,,2023-01-13,"automotive, ecommerce",Tempe,WSJ,Public,None,1,0
Adobe,100.0,,2022-12-06,"marketing, software, saas","San Jose, CA",Bloomberg,Public,None,1,0
Invitae,1000.0,,2022-07-18,"health care, biotech",San Francisco,GenomeWeb,Public,None,1,0
Microsoft,10000.0,,2023-01-18,enterprise software,Seattle,Microsoft,Public,None,1,0
Alphabet,12000.0,,2023-01-20,"big tech, internet services","Mountain View, CA",CNBC,Public,None,1,0
Qualcomm,153.0,,2022-12-22,"telecommunication, wireless",San Diego,San Diego Union-Tribune,Public,None,1,0
Okta,24.0,,2022-08-26,"enterprise software, management information systems",San Francisco,Unleash,Public,None,1,0
Beyond Meat,240.0,,2022-10-14,foodtech,"Manhattan Beach, CA",CNBC,Public,None,1,0
WeWork,300.0,,2023-01-19,"real estate, proptech",New York,WeWork,Public,None,1,0
Peloton,4084.0,,2022-10-06,fitness,New York,CNBC,Public,"Peloton previously laid off 3,584 in February",1,0
UiPath,451.0,,2022-11-15,artificial intelligence,New York,MarketWatch,Public,None,1,0
Netflix,480.0,,2022-09-14,media/entertainment,Los Gatos,Deadline,Public,None,1,0
Cue,558.0,,2023-01-05,health care,San Diego,360dx,Public,None,1,0
Warby Parker,63.0,,2022-08-08,"ecommerce, fashion",New York City,Insider,Public,None,1,0
HashiCorp,69.0,,2023-01-11,"cybersecurity, cloud infrastructure",San Francisco,Crunchbase News Reporting,Public,None,1,0
Quanergy Systems,72.0,,2022-12-14,autonomous vehicles,"Sunnyvale, CA",Silicon Valley Business Journal,Public,None,1,0
Doma,825.0,,2022-12-06,"insurtech, machine learning",San Francsico,Doma,Public,The company previously laid off workers in May.,1,0
Wayfair,870.0,,2022-08-19,"e-commerce, retail",Boston,Boston Globe,Public,None,1,0
Salesforce,9090.0,,2023-01-04,"enterprise tech, analytics",San Francisco,New York Times,Public,None,1,0
Oracle,,,2022-08-01,"saas, enterprise software",Austin,The Information,Public,The Information reported thousands of people would be laid off,0,0
LivePerson,,,2022-09-15,customer service,New York,LinkedIn,Public,None,0,0
Skillz,,,2022-08-29,"mobile apps, gaming",San Francisco,Seeking Alpha,Public,None,0,0
Blueboard,,,2022-11-03,enterprise software,San Francisco,LinkedIn reports,Private,None,0,0
